City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,parnamirim,-5.9156,-35.2628,23.82,95,94,2.15,BR,1715472866
84,kabansk,52.0486,106.6528,14.03,42,100,0.69,RU,1715472867
85,punta arenas,-53.15,-70.9167,5.62,81,86,6.51,CL,1715472868
86,santa marta,11.2408,-74.199,31.05,74,100,1.79,CO,1715472869
87,kununurra,-15.7667,128.7333,25.99,53,20,5.14,AU,1715472870
88,payyannur,12.1,75.2,26.32,85,64,1.91,IN,1715472870
89,ankazoabo,-22.2833,44.5167,18.38,71,4,2.65,MG,1715472873
90,rocha,-34.4833,-54.3333,10.24,85,39,2.03,UY,1715472873
91,sechura,-5.5569,-80.8222,21.59,74,100,7.74,PE,1715472874
92,prachuap khiri khan,12.2167,99.75,25.31,82,47,0.96,TH,1715472875
93,fale old settlement,-9.3852,-171.2468,29.5,68,87,4.39,TK,1715472876
94,pitimbu,-7.4706,-34.8086,27.33,77,91,2.78,BR,1715472877
95,coquimbo,-29.9533,-71.3436,11.66,70,53,4.2,CL,1715472877
96,bredasdorp,-34.5322,20.0403,11.06,81,3,1.31,ZA,1715472878
97,san antonio de pale,-1.4014,5.6325,26.22,90,27,4.05,GQ,1715472879
98,nguigmi,14.2495,13.1092,31.87,27,78,1.7,NE,1715472880
99,palapag,12.5458,125.1147,29.68,75,72,4.19,PH,1715472881
100,lulea,65.5842,22.1547,3.04,75,100,1.54,SE,1715472881
101,bariri,-22.0744,-48.7403,21.89,50,3,1.19,BR,1715472882
102,lihue,21.9789,-159.3672,23.77,81,100,6.17,US,1715472883
103,holdrege,40.4403,-99.3698,25.27,34,100,3.6,US,1715472884
104,happy valley-goose bay,53.3168,-60.3315,10.17,46,20,4.12,CA,1715472885
105,upper dir,35.2058,71.8756,14.72,71,72,2.52,PK,1715472887
106,wailua homesteads,22.0669,-159.378,22.64,87,100,1.54,US,1715472888
107,horqueta,-23.3428,-57.0597,25.24,41,11,2.05,PY,1715472888
108,santana,-0.0583,-51.1817,23.77,96,87,2.46,BR,1715472889
109,jiuquan,39.7432,98.5174,17.81,16,0,1.69,CN,1715472890
110,puerto natales,-51.7236,-72.4875,1.98,93,86,2.68,CL,1715472891
111,hawaiian paradise park,19.5933,-154.9731,26.04,78,100,4.12,US,1715472892
112,zhangye,38.9342,100.4517,19.47,18,1,4.55,CN,1715472892
113,knoxville,35.9606,-83.9207,21.97,52,75,3.6,US,1715472893
114,sesheke,-17.4759,24.2968,16.76,51,0,1.92,ZM,1715472894
115,ribeira grande,38.5167,-28.7,18.21,94,13,3.58,PT,1715472752
116,iskateley,67.6803,53.1512,-3.88,94,97,5.36,RU,1715472896
117,san felice circeo,41.2372,13.0942,18.65,73,51,1.63,IT,1715472897
118,brzozow,49.695,22.0193,6.76,77,100,1.34,PL,1715472618
119,fortuna,40.5982,-124.1573,19.96,77,40,6.17,US,1715472898
120,katsuura,35.1333,140.3,21.18,77,97,9.6,JP,1715472605
121,eudora,38.9433,-95.0986,27.11,37,0,2.06,US,1715472900
122,karonga,-9.9333,33.9333,21.41,81,8,1.72,MW,1715472901
123,aqaba,29.5267,35.0078,23.92,38,0,7.72,JO,1715472902
124,khash,28.2211,61.2158,17.99,30,40,2.84,IR,1715472903
125,kingscliff,-28.2667,153.5667,21.08,83,100,2.57,AU,1715472904
126,choma,-16.8065,26.9531,16.6,46,0,1.09,ZM,1715472905
127,robore,-18.3333,-59.75,26.8,45,0,2.01,BO,1715472905
128,katsuren-haebaru,26.3369,127.8719,28.43,77,75,5.14,JP,1715472906
129,olonkinbyen,70.9221,-8.7187,0.16,89,100,5.84,SJ,1715472907
130,staroyur'yevo,53.3161,40.7081,1.74,93,11,3.66,RU,1715472909
131,yatou,37.15,122.3833,17.11,48,24,4.18,CN,1715472909
132,al khafji,28.4391,48.4913,28.85,31,58,4.15,SA,1715472910
133,utrik,11.2278,169.8474,27.33,81,98,7.07,MH,1715472911
134,suva,-18.1416,178.4415,26.71,54,75,6.69,FJ,1715472913
135,iqaluit,63.7506,-68.5145,-3.15,86,100,8.75,CA,1715472914
136,tongouson,5.0214,120.1328,29.13,75,86,4.14,PH,1715472914
137,lebu,-37.6167,-73.65,9.07,80,7,0.66,CL,1715472915
138,hithadhoo,-0.6,73.0833,29.35,76,99,4.62,MV,1715472916
139,xiva,41.3783,60.3639,15.99,31,10,5.68,UZ,1715472917
140,kailua-kona,19.6406,-155.9956,27.98,72,0,3.09,US,1715472918
141,bethel,41.3712,-73.414,12.42,73,0,2.57,US,1715472918
142,oranjemund,-28.55,16.4333,13.3,81,0,6.12,NA,1715472919
